rules,lift,support,confidence,count
"{유기농채소,일반가공식품} => {유제품}",10.81967161,0.001543322,0.494456305,7180
"{농산가공,청과} => {유제품}",10.78088493,0.005558325,0.492683763,25859
"{위생세제,일반가공식품} => {유제품}",10.70645689,0.002850632,0.48928242,13262
"{유제품,일반가공식품,채소} => {청과}",10.70382349,0.001989768,0.494867957,9257
"{농산가공,유제품,채소} => {청과}",10.64861958,0.003243126,0.492315724,15088
"{농산가공,유기농채소,채소} => {유제품}",10.64461063,0.001486146,0.486456061,6914
"{농산가공,즉석반찬,채소} => {청과}",10.62051132,0.001074952,0.4910162,5001
"{농산가공,위생세제,채소} => {청과}",10.59705763,0.00139114,0.48993187,6472
"{유제품,음료,일반가공식품} => {채소}",10.5809912,0.001070438,0.416666667,4980
"{일반가공식품,채소} => {유제품}",10.53953416,0.004020806,0.481654093,18706
"{농산가공,생선,유제품} => {청과}",10.50716287,0.001115792,0.485775781,5191
"{농산가공,수입식품,채소} => {청과}",10.46019389,0.001119016,0.483604273,5206
{농산가공} => {채소},10.44108307,0.015173567,0.411157253,70592
"{농산가공,우육,유제품} => {청과}",10.41967657,0.001091073,0.481731043,5076
"{위생세제,일반가공식품,채소} => {청과}",10.40885324,0.001069148,0.48123065,4974
"{수입식품,청과} => {유제품}",10.38753959,0.002061561,0.474707979,9591
"{생선,일반가공식품} => {유제품}",10.36531067,0.001354599,0.473692123,6302
"{어묵,채소} => {유제품}",10.36227633,0.001270124,0.473553454,5909
"{우육,채소,청과} => {유제품}",10.35100525,0.001176622,0.473038368,5474
"{농산가공,유기농채소,유제품} => {청과}",10.33884256,0.001204565,0.477993859,5604
"{농산가공,우육,채소} => {유제품}",10.32467393,0.00141156,0.471835034,6567
"{농산가공,어묵} => {유제품}",10.32398083,0.00165445,0.471803359,7697
"{수입식품,채소} => {유제품}",10.32214723,0.002140446,0.471719564,9958
"{우육,일반가공식품} => {유제품}",10.31269726,0.001397158,0.471287703,6500
"{유기농채소,채소,청과} => {유제품}",10.31169459,0.001294413,0.471241881,6022
"{즉석반찬,청과} => {유제품}",10.20736377,0.001734626,0.466473988,8070
"{농산가공,유기농채소,채소} => {청과}",10.2038163,0.001441222,0.471751214,6705
"{농산가공,즉석반찬} => {유제품}",10.17606818,0.002020291,0.465043788,9399
"{농산가공,우육,채소} => {청과}",10.14968249,0.001403821,0.469248455,6531
{햄} => {유제품},10.09907174,0.003418953,0.46152507,15906
"{농산가공,생선,채소} => {청과}",10.09729615,0.001548696,0.466826487,7205
"{돈육,일반가공식품} => {유제품}",10.09326613,0.001067214,0.461259755,4965
"{농산가공,일반가공식품,채소} => {청과}",10.08446787,0.002127979,0.466233399,9900
"{농산가공,유기농채소} => {유제품}",10.00952259,0.002520043,0.457432696,11724
"{음료,채소} => {청과}",9.996725284,0.002071018,0.462176812,9635
"{유제품,채소} => {청과}",9.914545449,0.005588847,0.458377406,26001
"{생선,채소,청과} => {유제품}",9.878522802,0.001238097,0.451446038,5760
"{위생세제,채소} => {청과}",9.876526245,0.002353029,0.456619671,10947
"{농산가공,위생세제,유제품} => {청과}",9.867543627,0.001424027,0.45620438,6625
"{농산가공,유제품,음료} => {청과}",9.780420788,0.001335253,0.452176445,6212
"{농산가공,우육} => {유제품}",9.730752527,0.002264901,0.444692973,10537
"{농산가공,생선,채소} => {유제품}",9.696171055,0.001470025,0.443112609,6839
"{즉석반찬,채소} => {청과}",9.672109824,0.001838445,0.447168924,8553
"{농산가공,유제품,일반가공식품} => {청과}",9.617850759,0.002065645,0.444660374,9610
"{농산가공,수입식품,유제품} => {청과}",9.570428155,0.001096017,0.442467893,5099
"{즉석반찬,채소} => {유제품}",9.557268204,0.001795671,0.436764783,8354
"{수입식품,위생세제} => {유제품}",9.553017662,0.001558584,0.436570534,7251
"{농산가공,채소} => {유제품}",9.499891444,0.006587493,0.434142679,30647
"{수입식품,채소} => {청과}",9.475653968,0.001987834,0.438086215,9248
"{농산가공,위생세제,일반가공식품} => {청과}",9.43974026,0.001097092,0.436425823,5104
"{수입식품,일반가공식품} => {유제품}",9.338861931,0.002404402,0.42678367,11186
"{채소,햄} => {청과}",9.326219675,0.001229499,0.431177446,5720
"{농산가공,돈육} => {유제품}",9.324494299,0.001568471,0.426127073,7297
{냉동식품} => {유제품},9.302360465,0.00177912,0.425115562,8277
"{생선,유제품} => {청과}",9.302165624,0.001909378,0.430065359,8883
"{유기농채소,유제품} => {청과}",9.259013613,0.002229649,0.42807032,10373
"{수입식품,음료} => {유제품}",9.254196818,0.001657459,0.422914496,7711
"{우육,청과} => {유제품}",9.229320365,0.001862519,0.421777648,8665
"{일반가공식품,채소} => {청과}",9.224502053,0.003560174,0.426474753,16563
"{돈육,청과} => {유제품}",9.201258727,0.001186295,0.420495238,5519
"{유기농채소,일반가공식품} => {청과}",9.181543785,0.001324936,0.424488672,6164
"{유기농채소,채소} => {청과}",9.179547983,0.002746813,0.4243964,12779
"{생선,채소} => {청과}",9.161226138,0.002742514,0.423549329,12759
"{위생세제,유제품,일반가공식품} => {청과}",9.134949569,0.00120392,0.42233449,5601
"{농산가공,생선} => {유제품}",9.111584488,0.002296928,0.416397148,10686
"{유기농채소,청과} => {유제품}",9.088713869,0.002229649,0.415351966,10373
"{우육,채소} => {청과}",9.085900064,0.002487371,0.420066793,11572
"{유제품,즉석반찬} => {청과}",8.996563289,0.001734626,0.415936501,8070
"{농산가공,채소} => {청과}",8.992644536,0.006308491,0.415755326,29349
"{생선,일반가공식품} => {청과}",8.967917954,0.00118565,0.414612147,5516
"{어묵,채소} => {청과}",8.958331487,0.001110848,0.414168937,5168
"{유제품,음료,일반가공식품} => {청과}",8.954445788,0.00106356,0.41398929,4948
"{채소,청과} => {유제품}",8.922369948,0.005588847,0.40775009,26001
"{우육,유제품} => {청과}",8.890937668,0.001862519,0.411053131,8665
"{생선,청과} => {유제품}",8.832125782,0.001909378,0.403625954,8883
"{농산가공,유기농채소} => {청과}",8.819802224,0.002246415,0.407764339,10451
"{일반가공식품,즉석반찬} => {청과}",8.725115508,0.001034327,0.403386705,4812
"{농산가공,즉석반찬} => {청과}",8.712435134,0.001749887,0.402800455,8141
"{농산가공,생선} => {청과}",8.710692084,0.002221481,0.402719869,10335
"{농산가공,우육} => {청과}",8.675595996,0.00204286,0.401097278,9504
